	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
2801	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01401	1471496	1470687	-	809	mhqA_2	Putative ring-cleaving dioxygenase MhqA	1.13.11.-	1280pt3350_01401
2803	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01402	1473344	1472076	-	1268	odhB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	2.3.1.61	1280pt3350_01402
2805	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01403	1476156	1473358	-	2798	odhA	2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1280pt3350_01403
2807	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01404	1477794	1476505	-	1289	arlS	Signal transduction histidine-protein kinase ArlS	2.7.13.3	1280pt3350_01404
2809	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01405	1478450	1477791	-	659	arlR	Response regulator ArlR		1280pt3350_01405
2811	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01406	1479852	1479238	-	614		hypothetical protein		1280pt3350_01406
2813	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01407	1480939	1479869	-	1070	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	1280pt3350_01407
2815	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01408	1481460	1480951	-	509		hypothetical protein		1280pt3350_01408
2817	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01409	1483350	1481860	-	1490		putative CtpA-like serine protease	3.4.21.-	1280pt3350_01409
2819	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01410	1483763	1483542	-	221		hypothetical protein		1280pt3350_01410
2821	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01411	1484263	1483763	-	500	crr	PTS system glucose-specific EIIA component		1280pt3350_01411
2823	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01412	1484703	1484275	-	428	msrB	Peptide methionine sulfoxide reductase MsrB	1.8.4.12	1280pt3350_01412
2825	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01413	1485229	1484696	-	533	msrA2	Peptide methionine sulfoxide reductase MsrA 2	1.8.4.11	1280pt3350_01413
2827	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01414	1486154	1485315	-	839		DegV domain-containing protein		1280pt3350_01414
2829	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01415	1486648	1486169	-	479	folA	Dihydrofolate reductase	1.5.1.3	1280pt3350_01415
2831	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01416	1487804	1486848	-	956	thyA	Thymidylate synthase	2.1.1.45	1280pt3350_01416
2833	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01417	1488665	1488228	-	437		hypothetical protein		1280pt3350_01417
2835	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01418	1489805	1488681	-	1124		hypothetical protein		1280pt3350_01418
2837	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01419	1490094	1489843	-	251		hypothetical protein		1280pt3350_01419
2839	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01420	1490545	1491249	+	704		queuosine precursor transporter		1280pt3350_01420
2841	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01421	1491445	1491314	-	131		hypothetical protein		1280pt3350_01421
2843	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01422	1491790	1492191	+	401	rnhA	14.7 kDa ribonuclease H-like protein		1280pt3350_01422
2845	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01423	1523746	1492250	-	31496	ebh	Extracellular matrix-binding protein ebh		1280pt3350_01423
2847	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01424	1525535	1524144	-	1391	norB_3	Quinolone resistance protein NorB		1280pt3350_01424
2849	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01425	1527014	1525692	-	1322	steT	Serine/threonine exchanger SteT		1280pt3350_01425
2851	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01426	1528085	1527045	-	1040	tdcB	L-threonine dehydratase catabolic TdcB	4.3.1.19	1280pt3350_01426
2853	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01427	1529298	1528180	-	1118	ald1	Alanine dehydrogenase 1	1.4.1.1	1280pt3350_01427
2855	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01428	1530651	1529773	-	878	ypcP	5'-3' exonuclease	3.1.11.-	1280pt3350_01428
2857	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01429	1534111	1530671	-	3440	der_1	GTPase Der		1280pt3350_01429
2859	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01430	1534415	1535755	+	1340		hypothetical protein		1280pt3350_01430
2861	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01431	1536293	1535961	-	332		hypothetical protein		1280pt3350_01431
2863	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01432	1537522	1536377	-	1145	rlmL	Ribosomal RNA large subunit methyltransferase L	2.1.1.173	1280pt3350_01432
2865	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01433	1538072	1537956	-	116		hypothetical protein		1280pt3350_01433
2867	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01434	1538517	1538173	-	344	gpsB	Cell cycle protein GpsB		1280pt3350_01434
2869	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01435	1539094	1538531	-	563		hypothetical protein		1280pt3350_01435
2871	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01436	1539488	1539087	-	401		hypothetical protein		1280pt3350_01436
2873	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01437	1539977	1540603	+	626	recU	Holliday junction resolvase RecU	3.1.22.4	1280pt3350_01437
2875	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01438	1540600	1542783	+	2183	ponA	Penicillin-binding protein 1A/1B		1280pt3350_01438
2877	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01439	1543690	1543349	-	341		hypothetical protein		1280pt3350_01439
2879	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01440	1544354	1543695	-	659	nth_2	Endonuclease III	4.2.99.18	1280pt3350_01440
2881	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01441	1545030	1544344	-	686	dnaD	DNA replication protein DnaD		1280pt3350_01441
2883	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01442	1546650	1545358	-	1292	asnS	Asparagine--tRNA ligase	6.1.1.22	1280pt3350_01442
2885	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01443	1549664	1546944	-	2720	dinG	3'-5' exonuclease DinG	3.1.-.-	1280pt3350_01443
2887	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01444	1550659	1549688	-	971	birA	Bifunctional ligase/repressor BirA	6.3.4.15	1280pt3350_01444
2889	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01445	1551848	1550646	-	1202	cca	CCA-adding enzyme	2.7.7.72	1280pt3350_01445
2891	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01446	1552995	1551853	-	1142	bshA	N-acetyl-alpha-D-glucosaminyl L-malate synthase	2.4.1.-	1280pt3350_01446
2893	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01447	1553553	1553236	-	317	ypjD	putative protein YpjD		1280pt3350_01447
2895	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01448	1554588	1553890	-	698		hypothetical protein		1280pt3350_01448
2897	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01449	1555229	1554642	-	587		hypothetical protein		1280pt3350_01449
2899	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01450	1555806	1555219	-	587		hypothetical protein		1280pt3350_01450
2901	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01451	1557052	1555808	-	1244	bepA	Beta-barrel assembly-enhancing protease	3.4.-.-	1280pt3350_01451
2903	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01452	1558357	1557059	-	1298	aroA_1	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19	1280pt3350_01452
2905	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01453	1559431	1558367	-	1064	aroB	3-dehydroquinate synthase	4.2.3.4	1280pt3350_01453
2907	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01454	1560623	1559457	-	1166	aroC	Chorismate synthase	4.2.3.5	1280pt3350_01454
2909	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01455	1561209	1561009	-	200		hypothetical protein		1280pt3350_01455
2911	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01456	1561867	1561418	-	449	ndk	Nucleoside diphosphate kinase	2.7.4.6	1280pt3350_01456
2913	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01457	1562918	1561959	-	959	hepT	Heptaprenyl diphosphate synthase component 2	2.5.1.30	1280pt3350_01457
2915	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01458	1563645	1562920	-	725	menG	Demethylmenaquinone methyltransferase	2.1.1.163	1280pt3350_01458
2917	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01459	1564220	1563648	-	572		hypothetical protein		1280pt3350_01459
2919	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01460	1564923	1564651	-	272	hup	DNA-binding protein HU		1280pt3350_01460
2921	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01461	1566092	1565094	-	998	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	1.1.1.94	1280pt3350_01461
2923	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01462	1567419	1566109	-	1310	der_2	GTPase Der		1280pt3350_01462
2925	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01463	1568816	1567641	-	1175	rpsA	30S ribosomal protein S1		1280pt3350_01463
2927	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01464	1570187	1569528	-	659	cmk	Cytidylate kinase	2.7.4.25	1280pt3350_01464
2929	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01465	1570264	1571232	+	968	ansA	putative L-asparaginase	3.5.1.1	1280pt3350_01465
2931	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01466	1572333	1571347	-	986		Glucosaminate ammonia-lyase	4.3.1.9	1280pt3350_01466
2933	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01467	1574195	1572735	-	1460	ebpS	Elastin-binding protein EbpS		1280pt3350_01467
2935	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01468	1575727	1574348	-	1379	recQ_2	ATP-dependent DNA helicase RecQ	3.6.4.12	1280pt3350_01468
2937	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01469	1576670	1575717	-	953		hypothetical protein		1280pt3350_01469
2939	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01470	1576778	1577026	+	248		Ferredoxin		1280pt3350_01470
2941	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01471	1577677	1577132	-	545	ribU	Riboflavin transporter RibU		1280pt3350_01471
2943	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01472	1579188	1578274	-	914		hypothetical protein		1280pt3350_01472
2945	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01473	1579409	1579203	-	206		hypothetical protein		1280pt3350_01473
2947	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01474	1580280	1579402	-	878		hypothetical protein		1280pt3350_01474
2949	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01475	1581315	1580398	-	917		hypothetical protein		1280pt3350_01475
2951	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01476	1583568	1581406	-	2162		hypothetical protein		1280pt3350_01476
2953	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01477	1584490	1583561	-	929		hypothetical protein		1280pt3350_01477
2955	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01478	1586486	1584735	-	1751	srrB	Sensor protein SrrB	2.7.13.3	1280pt3350_01478
2957	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01479	1587192	1586467	-	725	srrA	Transcriptional regulatory protein SrrA		1280pt3350_01479
2959	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01480	1588062	1587325	-	737	rluB	Ribosomal large subunit pseudouridine synthase B	5.4.99.22	1280pt3350_01480
2961	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01481	1588597	1588055	-	542	scpB	Segregation and condensation protein B		1280pt3350_01481
2963	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01482	1589345	1588590	-	755	scpA	Segregation and condensation protein A		1280pt3350_01482
2965	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01483	1589413	1589919	+	506		hypothetical protein		1280pt3350_01483
2967	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01484	1590884	1589997	-	887	xerD_3	Tyrosine recombinase XerD		1280pt3350_01484
2969	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01485	1591382	1590933	-	449	fur	Ferric uptake regulation protein		1280pt3350_01485
2971	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01486	1592029	1591487	-	542	nudF	ADP-ribose pyrophosphatase	3.6.1.13	1280pt3350_01486
2973	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01487	1592111	1593019	+	908	yajO	1-deoxyxylulose-5-phosphate synthase YajO	1.1.-.-	1280pt3350_01487
2975	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01488	1593483	1593235	-	248		hypothetical protein		1280pt3350_01488
2977	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01489	1594254	1593499	-	755		putative oxidoreductase	1.-.-.-	1280pt3350_01489
2979	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01490	1594396	1595211	+	815	proC	Pyrroline-5-carboxylate reductase	1.5.1.2	1280pt3350_01490
2981	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01491	1596236	1595316	-	920	rnz	Ribonuclease Z	3.1.26.11	1280pt3350_01491
2983	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01492	1596549	1598033	+	1484	zwf	Glucose-6-phosphate 1-dehydrogenase	1.1.1.49	1280pt3350_01492
2985	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01493	1598263	1599129	+	866		hypothetical protein		1280pt3350_01493
2987	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01494	1600861	1599212	-	1649	malL	Oligo-1,6-glucosidase	3.2.1.10	1280pt3350_01494
2989	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01495	1601896	1600877	-	1019	malR	HTH-type transcriptional regulator MalR		1280pt3350_01495
2991	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01496	1602461	1602090	-	371		hypothetical protein		1280pt3350_01496
2993	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01497	1604086	1602680	-	1406	gnd	6-phosphogluconate dehydrogenase, decarboxylating	1.1.1.44	1280pt3350_01497
2995	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01498	1605287	1604154	-	1133	pepT_2	Peptidase T	3.4.11.4	1280pt3350_01498
2997	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01499	1605637	1605729	+	92		hypothetical protein		1280pt3350_01499
2999	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01500	1606836	1605856	-	980		hypothetical protein		1280pt3350_01500
3001	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01501	1607287	1606850	-	437		hypothetical protein		1280pt3350_01501
3003	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01502	1608912	1607638	-	1274	pdhC_2	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	2.3.1.12	1280pt3350_01502
3005	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01503	1609908	1608925	-	983	bfmBAB	2-oxoisovalerate dehydrogenase subunit beta	1.2.4.4	1280pt3350_01503
3007	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01504	1610900	1609908	-	992	bfmBAA	2-oxoisovalerate dehydrogenase subunit alpha	1.2.4.4	1280pt3350_01504
3009	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01505	1612337	1610916	-	1421		Dihydrolipoyl dehydrogenase	1.8.1.4	1280pt3350_01505
3011	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01506	1614167	1612488	-	1679	recN	DNA repair protein RecN		1280pt3350_01506
3013	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01507	1614635	1614183	-	452	argR_1	Arginine repressor		1280pt3350_01507
3015	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01508	1615948	1615067	-	881		Farnesyl diphosphate synthase	2.5.1.10	1280pt3350_01508
3017	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01509	1616156	1615926	-	230	xseB	Exodeoxyribonuclease 7 small subunit	3.1.11.6	1280pt3350_01509
3019	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01510	1617486	1616149	-	1337	xseA	Exodeoxyribonuclease 7 large subunit	3.1.11.6	1280pt3350_01510
3021	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01511	1617892	1617503	-	389	nusB	Transcription antitermination protein NusB		1280pt3350_01511
3023	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01512	1618314	1617952	-	362		putative protein		1280pt3350_01512
3025	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01513	1619684	1618329	-	1355	cfiB	2-oxoglutarate carboxylase small subunit	6.4.1.7	1280pt3350_01513
3027	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01514	1620148	1619684	-	464	accB_1	Biotin carboxyl carrier protein of acetyl-CoA carboxylase		1280pt3350_01514
3029	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01515	1620856	1620503	-	353		IS30 family transposase ISSau5		1280pt3350_01515
3031	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01516	1621523	1621020	-	503		IS30 family transposase ISSau5		1280pt3350_01516
3033	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01517	1621973	1621632	-	341		hypothetical protein		1280pt3350_01517
3035	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01518	1622619	1622029	-	590		hypothetical protein		1280pt3350_01518
3037	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01519	1623672	1622626	-	1046		hypothetical protein		1280pt3350_01519
3039	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01520	1625509	1623662	-	1847		hypothetical protein		1280pt3350_01520
3041	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01521	1626872	1625514	-	1358		hypothetical protein		1280pt3350_01521
3043	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01522	1629421	1626926	-	2495		hypothetical protein		1280pt3350_01522
3045	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01523	1629839	1629456	-	383		hypothetical protein		1280pt3350_01523
3047	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01524	1630111	1629851	-	260		hypothetical protein		1280pt3350_01524
3049	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01525	1631171	1630116	-	1055		hypothetical protein		1280pt3350_01525
3051	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01526	1632323	1631232	-	1091		hypothetical protein		1280pt3350_01526
3053	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01527	1632800	1632498	-	302		hypothetical protein		1280pt3350_01527
3055	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01528	1633134	1632814	-	320		hypothetical protein		1280pt3350_01528
3057	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01529	1633569	1633285	-	284		hypothetical protein		1280pt3350_01529
3059	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01530	1634521	1633964	-	557	efp	Elongation factor P		1280pt3350_01530
3061	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01531	1635608	1634547	-	1061	ypdF	Aminopeptidase YpdF	3.4.11.-	1280pt3350_01531
3063	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01532	1635713	1636294	+	581		hypothetical protein		1280pt3350_01532
3065	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01533	1636308	1636526	+	218		hypothetical protein		1280pt3350_01533
3067	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01534	1637420	1636590	-	830	lipM	Octanoyltransferase LipM	2.3.1.181	1280pt3350_01534
3069	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01535	1637578	1637964	+	386	yibN	putative protein YibN		1280pt3350_01535
3071	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01536	1639801	1638329	-	1472	gcvPB	putative glycine dehydrogenase (decarboxylating) subunit 2	1.4.4.2	1280pt3350_01536
3073	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_01537	1641140	1639794	-	1346	gcvPA	putative glycine dehydrogenase (decarboxylating) subunit 1	1.4.4.2	1280pt3350_01537
